Awoshie,Greater Accra,Ghana,5.59,-0.28,
Awudome Estate,Greater Accra,Ghana,5.57,-0.23,
Ayaso,Greater Accra,Ghana,5.67,-0.29,
Ayi Mensa,Greater Accra,Ghana,5.7820,-0.1846248,
Ayido,Greater Accra,Ghana,5.63,-0.2,
Ayikai Doblo,Greater Accra,Ghana,5.68,-0.35,
Ayim,Greater Accra,Ghana,5.78,-0.21,
Babafa,Greater Accra,Ghana,5.62,-0.6,
Badija,Greater Accra,Ghana,5.6,-0.57,
Banana Inn,Greater Accra,Ghana,5.54,-0.25,
Bawaleshi,Greater Accra,Ghana,5.64,-0.17,
Bortianor,Greater Accra,Ghana,5.51,-0.34,
Botamfa,Greater Accra,Ghana,5.52,-0.53,
Botokura,Greater Accra,Ghana,5.77,-0.42,
Bowenum,Greater Accra,Ghana,5.64,-0.56,
Brayenda,Greater Accra,Ghana,5.68,-0.6,
Bruburam,Greater Accra,Ghana,5.52,-0.48,
Buade,Greater Accra,Ghana,5.62,-0.08,
Bubiashie,Greater Accra,Ghana,5.58,-0.25,
Buduatta,Greater Accra,Ghana,5.5,-0.58,
Buduburam,Greater Accra,Ghana,5.52,-0.48,
Bukom,Greater Accra,Ghana,5.7819901,-0.1846248,
Burma Camp,Greater Accra,Ghana,5.6,-0.15,
Cantonments,Greater Accra,Ghana,5.58,-0.18,
Chantan,Greater Accra,Ghana,5.62,-0.27,2400
Chokome,Greater Accra,Ghana,5.5,-0.33,
Chorkor,Greater Accra,Ghana,5.53,-0.24,
Christian Village,Greater Accra,Ghana,5.63,-0.22,
Christiansborg,Greater Accra,Ghana,5.55,-0.19,
Danfa,Greater Accra,Ghana,5.79,-0.16,
Dansoman,Greater Accra,Ghana,5.548145,-0.2644055,
Dansoman Estate,Greater Accra,Ghana,5.54,-0.26,
Darkuman,Greater Accra,Ghana,5.58,-0.26,
Dawhenya,Greater Accra,Ghana,5.7611753,-0.049064,
Doboro,Greater Accra,Ghana,5.8,-0.3,
Doborogonno,Greater Accra,Ghana,5.7,-0.36,
Dodowa,Greater Accra,Ghana,5.8868365,-0.1064306,
Dome,Greater Accra,Ghana,5.65,-0.24,
Dzorwulu,Greater Accra,Ghana,5.61,-0.2,
East Dzorwulu Residential Area,Greater Accra,Ghana,5.61,-0.19,
East-Legon,Greater Accra,Ghana,5.6364025,-0.1670703,
East-Legon Residential Area,Greater Accra,Ghana,5.63,-0.16,
East Ridge,Greater Accra,Ghana,5.56,-0.19,
Fise,Greater Accra,Ghana,5.68,-0.3,
Gbawe,Greater Accra,Ghana,5.58,-0.31,
Gbegbeyise,Greater Accra,Ghana,5.52,-0.27,
Giffard Camp,Greater Accra,Ghana,5.6,-0.15,
Greda Estates,Greater Accra,Ghana,5.62,-0.09,
Haatso,Greater Accra,Ghana,5.6756843,-0.2112885,
Industrial Area,Greater Accra,Ghana,5.64,-0.12,
Jamestown,Greater Accra,Ghana,5.53,-0.21,
Joma,Greater Accra,Ghana,5.62,-0.57,
Kanda Estate,Greater Accra,Ghana,5.58,-0.19,
Kaneshie,Greater Accra,Ghana,5.57,-0.24,
Kasoa,Greater Accra,Ghana,5.53,-0.42,
Katamanso,Greater Accra,Ghana,5.75,-0.08,
Kisseman,Greater Accra,Ghana,5.6381641,-0.2212326,
Kodzo Ashon,Greater Accra,Ghana,5.72,-0.4,
Kokomlemle,Greater Accra,Ghana,5.58,-0.21,
Kokrobite,Greater Accra,Ghana,5.5,-0.36,
Koleman,Greater Accra,Ghana,5.77,-0.31,
Korle Bu Hospital,Greater Accra,Ghana,5.54,-0.23,
Korle Dudor,Greater Accra,Ghana,5.54,-0.21,
Korle Gonno,Greater Accra,Ghana,5.53,-0.22,
Korle Lagoon Area,Greater Accra,Ghana,5.55,-0.23,
Kotobabi,Greater Accra,Ghana,5.59,-0.21,
Kpehe,Greater Accra,Ghana,5.59,-0.21,
Krokrobite,Greater Accra,Ghana,5.5,-0.36,
Kuntunse,Greater Accra,Ghana,5.7503133,-0.3123524,
Kwabenya,Greater Accra,Ghana,5.69,-0.25,
Kwashieman,Greater Accra,Ghana,5.6,-0.27,
La,Greater Accra,Ghana,5.57,-0.16,
La Bawalshie,Greater Accra,Ghana,5.64,-0.17,
Labadi,Greater Accra,Ghana,5.57,-0.16,
Labone,Greater Accra,Ghana,5.5665369,-0.1821596,
Lapaz,Greater Accra,Ghana,5.61,-0.25,
Lartebiokorshi,Greater Accra,Ghana,5.54,-0.24,
Lashibi,Greater Accra,Ghana,5.6847751,-0.04667,
Lateman,Greater Accra,Ghana,5.75,-0.15,
Lebanon,Greater Accra,Ghana,5.6959312,-0.0467018,
Legon,Greater Accra,Ghana,5.65,-0.18,
